crop,water_need,region,yield_per_acre,profit_per_acre
Millets,Low,South India,2,50000
Maize,Medium,South India,3,45000
Wheat,High,North India,2.5,40000
Barley,Low,North India,1.8,35000
Rice,High,South India,3,48000
Sorghum,Low,South India,2.2,47000
Soybean,Medium,East India,2.5,43000
Cotton,High,West India,1.5,52000
Chickpea,Low,Central India,1.6,38000
Tomato,Medium,South India,2.8,55000
Potato,Medium,North India,3,60000
Onion,Low,South India,2.5,52000
Lentil,Low,North India,1.9,40000
Peas,Medium,North India,2,42000
Sugarcane,High,South India,4,70000
Mustard,Medium,North India,1.7,36000
Groundnut,Low,West India,2.1,45000
Coffee,Medium,South India,1.2,60000
Tea,High,North India,1,65000
Cabbage,Low,East India,2,48000
Carrot,Medium,North India,1.8,47000
Beetroot,Low,South India,2,50000
Cauliflower,Medium,South India,2.2,52000
Brinjal,Medium,South India,1.9,44000
Capsicum,Low,South India,2,51000
Pumpkin,Low,North India,1.5,40000
Watermelon,Medium,South India,3,55000
Muskmelon,Low,South India,2.3,48000
Banana,High,South India,4,70000
Apple,High,North India,3,65000
Pear,Medium,North India,2.5,60000
Mango,Medium,South India,3,72000
Papaya,Low,South India,2.5,50000
Pineapple,Medium,South India,2.8,55000
Cucumber,Low,West India,2.2,47000
Spinach,Low,North India,1.5,40000
Lettuce,Medium,North India,1.8,45000
Radish,Low,South India,2,48000
Okra,Medium,South India,2.1,50000
Bottle Gourd,Low,East India,2,47000
Carrot,Medium,East India,2,46000
Brinjal,Medium,West India,2,44000
Tomato,Medium,Central India,2.3,55000
Onion,Low,Central India,2.1,52000
